TIME,NTN,ENT,X,Y,SPEED,BEAR,ALT,RADAR
190530,LL457,57,-132,-28,1296,346,0,P
190530,LL457,57,-132,-28,1296,346,0,P
190538,LL457,57,-133,-24,1296,346,0,P
190538,LL457,57,-133,-24,1298,346,0,P
190542,LL457,57,-133,-24,1296,346,0,P
190542,LL457,57,-133,-24,1296,346,0,P
190554,LL457,57,-132,-27,587,348,0,P
190554,LL457,57,-132,-27,587,348,0,P
190607,LL457,57,-134,-24,515,344,0,P
190607,LL457,57,-134,-24,515,344,0,P
190630,LL457,57,-134,-23,357,349,0,P
190630,LL457,57,-134,-23,357,349,0,P
190653,LL457,57,-135,-21,353,346,0,P
190653,LL457,57,-135,-21,353,346,0,P
190717,LL457,57,-136,-19,360,342,0,P
190717,LL457,57,-136,-19,360,342,0,P
190729,LL457,57,-137,-18,361,340,0,P
190729,LL457,57,-137,18,351,340,0,P
190828,LL457,57,-139,-12,364,337,0,P
190840,LL457,57,-139,-11,361,337,0,P
190852,LL457,57,-140,-10,362,338,0,P
190904,LL457,57,-140,-9,358,338,0,P
190927,LL457,57,-141,-6,360,339,0,P
190939,LL457,57,-141,-5,355,339,0,P
191003,LL457,57,-142,-3,353,339,0,P
191027,LL457,57,-143,1,351,338,0,P
191102,LL457,57,-145,1,357,337,0,P
191114,LL457,57,-145,2,359,336,0,P
191115,LL013,13,-144,2,471,332,0,P
191122,LL013,13,-144,3,471,332,0,P
191126,LL013,13,-144,3,471,332,0,P
191138,LL457,57,-145,5,473,331,0,P
191201,LL457,57,-147,7,469,330,0,P
191225,LG457,57,-148,9,448,331,0,P
191249,LL457,57,-149,11,409,331,0,P
191312,LL457,57,-150,14,401,335,0,P
191324,LL457,57,-150,15,393,336,0,P
191400,LL457,57,-151,17,357,336,0,P
191412,LL457,57,-152,18,352,336,0,P
191435,LL457,57,-152,20,323,337,0,P
191447,LL457,57,-153,21,340,336,0,P
191459,LL457,57,-153,22,337,337,0,P
191523,LL457,57,-154,25,348,339,0,P
191535,LL457,57,-154,26,355,341,0,P
191546,LL457,57,-155,27,353,342,0,P
191622,LL457,57,-155,30,358,345,0,P
191658,LL457,57,-156,34,364,347,0,P
191757,LL457,57,-158,40,252,338,0,P
191809,LL457,57,-158,41,269,340,0,P
191821,LL457,57,-159,41,251,335,0,P
191937,LL013,13,-160,48,333,336,21000,P
191947,LL013,13,-161,48,333,336,21000,P
192031,GA421,21,-164,54,319,278,21000,P
192043,GA421,21,-165,54,313,282,21000,P
192142,GA421,21,-168,59,318,325,21000,P
192154,GA421,21,-169,60,318,325,21000,P
192206,GA421,21,-169,61,319,330,21000,P
192218,GA421,21,-170,62,314,328,21000,P
192317,GA421,21,-173,66,329,324,21000,P
192404,GA421,21,-176,70,342,324,21000,P
192452,GA421,21,-178,74,341,327,21000,P
192503,GA421,21,-179,75,346,329,21000,P
192527,GA421,21,-180,78,355,336,21000,P
192615,GA421,21,-182,80,359,310,21000,P
192626,GA421,21,-182,83,358,357,21000,P
192650,GA421,21,-183,86,358,0,21000,P
192702,GA421,21,-183,87,358,358,21000,P
192714,GA421,21,-183,88,355,356,21000,P
192726,GA421,21,-183,89,354,352,21000,P
192737,GA421,21,-184,91,352,347,21000,P
192801,LG465,65,-185,93,353,344,21000,P
192813,LG456,56,-185,94,344,339,21000,P
192825,LG456,56,-186,95,347,335,21000,P
192837,LG456,56,-187,96,347,334,21000,P
